file,childworkflow,activitytaskstarted,localactivitymarker,workflowexecutionsignaled,externalworkflowexecutionsignaled,timerstarted,searchattribute
bgc_wf_list_22-03-14.json,       0,       0,       0,       0,       0,       0,       0
smitty-accept-wf.json,       0,       1,       0,       1,       0,       1,       0
smitty-bgc-wf.json,       6,       1,       0,       0,       0,       0,       3
smitty-federal-wf.json,       0,       1,       0,       0,       0,       0,       0
smitty-mv-wf.json,       0,       1,       0,       0,       0,       0,       0
smitty-ssn-wf.json,       0,       1,       0,       0,       0,       0,       0
smitty-state-wf.json,       0,       2,       0,       0,       0,       0,       0
smitty-verify-wf.json,       0,       1,       0,       1,       0,       1,       0
file,childworkflow,activitytaskstarted,localactivitymarker,workflowexecutionsignaled,externalworkflowexecutionsignaled,timerstarted,searchattribute
bgc_wf_list_22-03-14.json,       0,       0,       0,       0,       0,       0,       0
smitty-accept-wf.json,       0,       1,       0,       1,       0,       1,       0
smitty-bgc-wf.json,       6,       1,       0,       0,       0,       0,       3
smitty-federal-wf.json,       0,       1,       0,       0,       0,       0,       0
smitty-mv-wf.json,       0,       1,       0,       0,       0,       0,       0
smitty-ssn-wf.json,       0,       1,       0,       0,       0,       0,       0
smitty-state-wf.json,       0,       2,       0,       0,       0,       0,       0
smitty-verify-wf.json,       0,       1,       0,       1,       0,       1,       0
